"sgdid"	"type"	"qual"	"name"	"gene"	"alias"	"parent"	"sgdid2"	"chrom"	"start"	"end"	"strand"	"genpos"	"cver"	"sver"	"desc"
"19"	"S000003700"	"ORF"	"Verified"	"YJL164C"	"TPK1"	"cAMP-dependent protein kinase catalytic subunit TPK1|SRA3|PKA1"	"chromosome 10"	"L000002045"	"10"	111159	109966	"C"	-106	"2011-02-03"	"1996-07-31|2011-02-03"	"cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; phosphorylates and inhibits Whi3p to promote G1/S phase passage; partially redundant with Tpk2p and Tpk3p; phosphorylates pre-Tom40p, which impairs its import into mitochondria under non-respiratory conditions; TPK1 has a paralog, TPK3, that arose from the whole genome duplication"
"20"	"S000003669"	"ORF"	"Verified"	"YJL133W"	"MRS3"	"Fe(2+) transporter"	"chromosome 10"	"L000001179"	"10"	160619	161563	"W"	NA	"2011-02-03"	"1996-07-31"	"Iron transporter, mediates Fe2+ transport across inner mito membrane; mitochondrial carrier family member; active under low-iron conditions; may transport other cations; MRS3 has a paralog, MRS4, that arose from the whole genome duplication"
"21"	"S000003667"	"ORF"	"Verified"	"YJL131C"	"AIM23"	""	"chromosome 10"	""	"10"	165348	164278	"C"	NA	"2011-02-03"	"1996-07-31"	"Mitochondrial translation initiation factor 3 (IF3, mIF3); evolutionarily conserved; binds to E. coli ribosomes in vitro; null mutant displays severe respiratory growth defect and elevated frequency of mitochondrial genome loss"
"22"	"S000003652"	"ORF"	"Verified"	"YJL116C"	"NCA3"	"SUN family protein NCA3"	"chromosome 10"	"L000002936"	"10"	194873	193860	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein involved in mitochondrion organization; functions with Nca2p to regulate mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p) of the Fo-F1 ATP synthase; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the vacuole; member of the SUN family; expression induced in cells treated with the mycotoxin patulin; NCA3 has a paralog, UTH1, that arose from the whole genome duplication"
"23"	"S000003648"	"ORF"	"Verified"	"YJL112W"	"MDV1"	"NET2|GAG3|FIS2"	"chromosome 10"	""	"10"	205305	207449	"W"	NA	"2011-02-03"	"1996-07-31|2011-02-03"	"Peripheral protein of cytosolic face of mitochondrial outer membrane; required for mitochondrial fission; interacts with Fis1p and with the self-assembled oligomeric form of the dynamin-related GTPase Dnm1p; contains WD repeats; MDV1 has a paralog, CAF4, that arose from the whole genome duplication"
"24"	"S000003630"	"ORF"	"Verified"	"YJL094C"	"KHA1"	""	"chromosome 10"	""	"10"	254442	251821	"C"	NA	"2011-02-03"	"1996-07-31"	"Putative K+/H+ antiporter; has a probable role in intracellular cation homeostasis; localized to Golgi vesicles and detected in highly purified mitochondria in high-throughput studies"
"25"	"S000003618"	"ORF"	"Verified"	"YJL082W"	"IML2"	""	"chromosome 10"	""	"10"	281185	283380	"W"	NA	"2011-02-03"	"1996-07-31"	"Protein required for clearance of inclusion bodies; localizes to the inclusion bodies formed under protein misfolding stress; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress; IML2 has a paralog, YKR018C, that arose from the whole genome duplication"
"26"	"S000003607"	"ORF"	"Verified"	"YJL071W"	"ARG2"	"acetyl-CoA:L-glutamate N-acetyltransferase|HRB574"	"chromosome 10"	"L000003263"	"10"	306132	307856	"W"	NA	"2011-02-03"	"1996-07-31"	"Acetylglutamate synthase (glutamate N-acetyltransferase); mitochondrial enzyme that catalyzes the first step in the biosynthesis of the arginine precursor ornithine; forms a complex with Arg5,6p"
"27"	"S000007611"	"ORF"	"Verified"	"YJL062W-A"	"COA3"	"COX25|RRG10"	"chromosome 10"	""	"10"	316723	316980	"W"	NA	"2011-02-03"	"2001-02-26"	"Mitochondrial protein required for cytochrome c oxidase assembly; also involved in translational regulation of Cox1p and prevention of Cox1p aggregation before assembly; located in the mitochondrial inner membrane"
"28"	"S000003590"	"ORF"	"Verified"	"YJL054W"	"TIM54"	""	"chromosome 10"	"L000004342"	"10"	334265	335701	"W"	NA	"2011-02-03"	"1996-07-31"	"Component of the mitochondrial TIM22 complex; involved in insertion of polytopic proteins into the inner membrane"
"29"	"S000003582"	"ORF"	"Verified"	"YJL046W"	"AIM22"	"putative lipoate--protein ligase|RRG3|LIP3"	"chromosome 10"	""	"10"	352386	353615	"W"	NA	"2011-02-03"	"1996-07-31|2005-12-01"	"Putative lipoate-protein ligase; required along with Lip2 and Lip5 for lipoylation of Lat1p and Kgd2p; similar to E. coli LplA; null mutant displays reduced frequency of mitochondrial genome loss"
"30"	"S000003560"	"ORF"	"Verified"	"YJL023C"	"PET130"	""	"chromosome 10"	"L000003025"	"10"	398398	397355	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein required for respiratory growth; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"31"	"S000006625"	"tRNA_gene"	""	"tK(CUU)J"	""	""	"chromosome 10"	"L000003611"	"10"	414966	415038	"W"	NA	"2011-02-03"	"2000-05-19"	"Lysine tRNA (tRNA-Lys), predicted by tRNAscan-SE analysis; a small portion is imported into mitochondria via interaction with mt lysyl-tRNA synthetase Msk1p and is necessary to decode AAG codons at high temperature, when base modification of mt-encoded tRNA-Lys is reduced"
"32"	"S000003795"	"ORF"	"Verified"	"YJR034W"	"PET191"	""	"chromosome 10"	"L000001400"	"10"	496683	497009	"W"	NA	"2011-02-03"	"1996-07-31"	"Protein required for assembly of cytochrome c oxidase; exists as an oligomer; described as both an integral mitochondrial inner membrane protein facing the intermembrane space (IMS) and as a soluble IMS protein; contains a twin Cx9C motif; imported into the IMS via the MIA import machinery"
"33"	"S000003809"	"ORF"	"Verified"	"YJR048W"	"CYC1"	"cytochrome c isoform 1"	"chromosome 10"	"L000000448"	"10"	526335	526664	"W"	34	"2011-02-03"	"1996-07-31"	"Cytochrome c, isoform 1; also known as iso-1-cytochrome c; electron carrier of mitochondrial intermembrane space that transfers electrons from ubiquinone-cytochrome c oxidoreductase to cytochrome c oxidase during cellular respiration; CYC1 has a paralog, CYC7, that arose from the whole genome duplication; human homolog CYC1 can complement yeast null mutant; mutations in human CYC1 cause insulin-responsive hyperglycemia"
"34"	"S000003812"	"ORF"	"Verified"	"YJR051W"	"OSM1"	"fumarate reductase|FRDS2"	"chromosome 10"	"L000001317"	"10"	529861	531366	"W"	34	"2011-02-03"	"1996-07-31"	"Fumarate reductase, catalyzes the reduction of fumarate to succinate; required for the reoxidation of intracellular NADH under anaerobic conditions; mutations cause osmotic sensitivity; has two translation start sites, one at the annotated start codon which produces an ER-targeted form required for anaerobic growth, and one at codon 32 which produces a mitochondrially-targeted form; OSM1 has a paralog, FRD1, that arose from the whole genome duplication"
"35"	"S000003831"	"ORF"	"Verified"	"YJR070C"	"LIA1"	"MMD1"	"chromosome 10"	""	"10"	570598	569621	"C"	NA	"2011-02-03"	"1996-07-31"	"Deoxyhypusine hydroxylase; HEAT-repeat containing metalloenzyme that catalyzes hypusine formation; binds to and is required for the modification of Hyp2p (eIF5A); complements S. pombe mmd1 mutants defective in mitochondrial positioning; protein abundance increases in response to DNA replication stress"
"36"	"S000003838"	"ORF"	"Verified"	"YJR077C"	"MIR1"	"PTP"	"chromosome 10"	"L000001114"	"10"	578190	577255	"C"	NA	"2011-02-03"	"1996-07-31"	"Mitochondrial phosphate carrier; imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated"
"37"	"S000003841"	"ORF"	"Verified"	"YJR080C"	"AIM24"	"FMP26"	"chromosome 10"	""	"10"	581616	580432	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein with a role in determining mitochondrial architecture; inner membrane protein that interacts physically and genetically with the MICOS complex and is required for its integrity"
"38"	"S000003845"	"ORF"	"Verified"	"YJR085C"	""	""	"chromosome 10"	""	"10"	585437	585120	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress"
"39"	"S000003851"	"ORF"	"Verified"	"YJR091C"	"JSN1"	"PUF1"	"chromosome 10"	"L000002964"	"10"	598336	595061	"C"	NA	"2011-02-03"	"1996-07-31"	"Member of the Puf family of RNA-binding proteins; interacts with mRNAs encoding membrane-associated proteins; involved in localizing the Arp2/3 complex to mitochondria; overexpression causes increased sensitivity to benomyl; JSN1 has a paralog, PUF2, that arose from the whole genome duplication"
"40"	"S000003856"	"ORF"	"Verified"	"YJR095W"	"SFC1"	"ACR1"	"chromosome 10"	"L000000023"	"10"	609773	610741	"W"	NA	"2011-02-03"	"1996-07-31"	"Mitochondrial succinate-fumarate transporter; transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization"
"41"	"S000003861"	"ORF"	"Verified"	"YJR100C"	"AIM25"	"SLM35"	"chromosome 10"	""	"10"	617334	616351	"C"	NA	"2011-02-03"	"1996-07-31"	"Mitochondria protein of unknown function; interacts genetically with TOR1 to regulate chronological lifespan, and the response to both heat shock and oxidative stress; involved in maintaining the integrity of the mitochondrial network; negative regulator of mitophagy flux; non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant is viable and displays an elevated frequency of mitochondrial genome loss; similar to murine NOR1"
"42"	"S000003865"	"ORF"	"Verified"	"YJR104C"	"SOD1"	"superoxide dismutase SOD1|CRS4"	"chromosome 10"	"L000001978"	"10"	623014	622550	"C"	NA	"2011-02-03"	"1996-07-31"	"Cytosolic copper-zinc superoxide dismutase; detoxifies superoxide; stabilizes Yck1p and Yck2p kinases in glucose to repress respiration; phosphorylated by Dun1p, enters nucleus under oxidative stress to promote transcription of stress response genes; human ortholog SOD1 implicated in ALS complements a null allele; abundance increases under DNA replication stress and during exposure to boric acid; localization to mitochondrial intermembrane space is modulated by MICOS complex"
"43"	"S000003879"	"ORF"	"Verified"	"YJR118C"	"ILM1"	""	"chromosome 10"	""	"10"	644101	643490	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein of unknown function; may be involved in mitochondrial DNA maintenance; required for slowed DNA synthesis-induced filamentous growth"
"44"	"S000003882"	"ORF"	"Verified"	"YJR121W"	"ATP2"	"F1F0 ATP synthase subunit beta"	"chromosome 10"	"L000000142"	"10"	647607	649142	"W"	NA	"2011-02-03"	"1996-07-31"	"Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated"
"45"	"S000003883"	"ORF"	"Verified"	"YJR122W"	"IBA57"	"CAF17"	"chromosome 10"	"L000003419"	"10"	649776	651269	"W"	NA	"2011-02-03"	"1996-07-31"	"Protein involved in incorporating iron-sulfur clusters into proteins; mitochondrial matrix protein; involved in the incorporation of iron-sulfur clusters into mitochondrial aconitase-type proteins; activates the radical-SAM family members Bio2p and Lip5p; interacts with Ccr4p in the two-hybrid system"
"46"	"S000003888"	"ORF"	"Verified"	"YJR127C"	"RSF2"	"ZMS1"	"chromosome 10"	"L000002569"	"10"	663059	658917	"C"	NA	"2011-02-03"	"1996-07-31"	"Zinc-finger protein; involved in transcriptional control of both nuclear and mitochondrial genes, many of which specify products required for glycerol-based growth, respiration, and other functions; RSF2 has a paralog, TDA9, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasm upon DNA replication stress"
"47"	"S000003905"	"ORF"	"Verified"	"YJR144W"	"MGM101"	"MGM9"	"chromosome 10"	"L000001104"	"10"	700882	701691	"W"	NA	"2011-02-03"	"1996-07-31"	"Protein with a role in mitochondrial DNA recombinational repair; also involved in interstrand cross-link repair; binds to and catalyzes the annealing of single-stranded mtDNA; oligomerizes to form rings and filaments; related to Rad52-type recombination proteins, with limited overall similarity but sharing conserved functionally important residues; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage and mitochondrial genome maintenance"
"48"	"S000001691"	"ORF"	"Verified"	"YKL208W"	"CBT1"	"SOC1"	"chromosome 11"	"L000004295|S000029465|L000004597"	"11"	47157	47972	"W"	NA	"2011-02-03"	"1996-07-31"	"Protein involved in 5' RNA end processing; substrates include mitochondrial COB, 15S_rRNA, and RPM1 transcripts; may also have a role in 3' end processing of the COB pre-mRNA; displays genetic interaction with cell cycle-regulated kinase Dbf2p"
"49"	"S000001681"	"ORF"	"Verified"	"YKL198C"	"PTK1"	"putative serine/threonine protein kinase PTK1|POT1|YKT9|YKL199C|STK1|KKT8"	"chromosome 11"	"L000003491"	"11"	70220	68232	"C"	NA	"2011-02-03"	"2003-01-08|1999-03-12|1996-07-31|2011-02-03"	"Putative serine/threonine protein kinase; regulates spermine uptake; involved in polyamine transport; possible mitochondrial protein; PTK1 has a paralog, PTK2, that arose from the whole genome duplication"
"50"	"S000001678"	"ORF"	"Verified"	"YKL195W"	"MIA40"	"TIM40|FMP15"	"chromosome 11"	""	"11"	75821	77032	"W"	NA	"2011-02-03"	"2003-09-22|1996-07-31"	"Import and assembly protein in mitochondrial intermembrane space; component of MIA pathway which mediates import and oxidative folding of substrates including small proteins containing twin cysteine motifs; acts in concert with Erv1p, which oxidizes the cysteine residues of Mia40p to comprise a disulfide relay system that catalyzes import; also mediates folding of Atp23p via a chaperone-like activity; forms a dimer that binds iron-sulfur cluster in vitro"
"51"	"S000001670"	"ORF"	"Verified"	"YKL187C"	"FAT3"	""	"chromosome 11"	""	"11"	91536	89284	"C"	NA	"2011-02-03"	"1996-07-31"	"Protein required for fatty acid uptake; protein abundance increases in cortical patches in response to oleate exposure; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; FAT3 has a paralog, YLR413W, that arose from the whole genome duplication"
"52"	"S000001650"	"ORF"	"Verified"	"YKL167C"	"MRP49"	"mitochondrial 54S ribosomal protein MRP49"	"chromosome 11"	"L000001159"	"11"	134134	133721	"C"	NA	"2011-02-03"	"1996-07-31"	"Mitochondrial ribosomal protein of the large subunit; not essential for mitochondrial translation"
"53"	"S000001647"	"ORF"	"Verified"	"YKL164C"	"PIR1"	"beta-1,3-glucan linked protein|CCW6"	"chromosome 11"	"L000001441"	"11"	142819	141794	"C"	NA	"2011-02-03"	"1996-07-31"	"O-glycosylated protein required for cell wall stability; attached to the cell wall via beta-1,3-glucan; mediates mitochondrial translocation of Apn1p; expression regulated by the cell integrity pathway and by Swi5p during the cell cycle; PIR1 has a paralog, YJL160C, that arose from the whole genome duplication"
"54"	"S000001631"	"ORF"	"Verified"	"YKL148C"	"SDH1"	"succinate dehydrogenase flavoprotein subunit SDH1|SDHA"	"chromosome 11"	"L000001823"	"11"	171129	169207	"C"	NA	"2011-02-03"	"1996-07-31"	"Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome"
"55"	"S000001625"	"ORF"	"Verified"	"YKL142W"	"MRP8"	"YKL3"	"chromosome 11"	"L000001156"	"11"	178515	179174	"W"	NA	"2011-02-03"	"1996-07-31"	"Protein of unknown function; undergoes sumoylation; transcription induced under cell wall stress; protein levels are reduced under anaerobic conditions; protein abundance increases in response to DNA replication stress; originally thought to be a mitochondrial ribosomal protein based on sequence analysis"
"56"	"S000001624"	"ORF"	"Verified"	"YKL141W"	"SDH3"	"succinate dehydrogenase cytochrome b subunit SDH3|YKL4|CYB3"	"chromosome 11"	"L000001825"	"11"	179667	180263	"W"	NA	"2011-02-03"	"1996-07-31"	"Subunit of succinate dehydrogenase and of TIM22 translocase; functions as cytochrome b subunit of succinate dehydrogenase, which couples oxidation of succinate to transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; also required for mitochondrial inner membrane protein import as part of the TIM22 complex; SDH3 has a paralog, SHH3, that arose from the whole genome duplication"
"57"	"S000001620"	"ORF"	"Verified"	"YKL137W"	"CMC1"	""	"chromosome 11"	""	"11"	185957	186292	"W"	NA	"2011-02-03"	"1996-07-31|2005-12-15"	"Copper-binding protein of the mitochondrial intermembrane space; evolutionarily conserved; may be involved in delivering copper from the matrix to the cytochrome c oxidase complex; contains a twin CX9C motif"
"58"	"S000001617"	"ORF"	"Verified"	"YKL134C"	"OCT1"	"metalloendopeptidase"	"chromosome 11"	"L000004860"	"11"	191442	189124	"C"	NA	"2011-02-03"	"1996-07-31|2011-02-03"	"Mitochondrial intermediate peptidase; cleaves destabilizing N-terminal residues of a subset of proteins upon import, after their cleavage by mitochondrial processing peptidase (Mas1p-Mas2p); may contribute to mitochondrial iron homeostasis"
"59"	"S000001615"	"ORF"	"Verified"	"YKL132C"	"RMA1"	"putative tetrahydrofolate synthase"	"chromosome 11"	""	"11"	194866	193574	"C"	NA	"2011-02-03"	"1996-07-31"	"Putative dihydrofolate synthetase; similar to E. coli folylpolyglutamate synthetase/dihydrofolate synthetase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; RMA1 has a paralog, FOL3, that arose from the whole genome duplication"
"60"	"S000006626"	"tRNA_gene"	""	"tK(CUU)K"	""	""	"chromosome 11"	"L000003631"	"11"	202999	203071	"W"	NA	"2011-02-03"	"2000-05-19"	"Lysine tRNA (tRNA-Lys), predicted by tRNAscan-SE analysis; a small portion is imported into mitochondria via interaction with mt lysyl-tRNA synthetase Msk1p and is necessary to decode AAG codons at high temperature, when base modification of mt-encoded tRNA-Lys is reduced"
"61"	"S000001603"	"ORF"	"Verified"	"YKL120W"	"OAC1"	""	"chromosome 11"	"S000007413"	"11"	217344	218318	"W"	NA	"2011-02-03"	"1996-07-31"	"Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family"
"62"	"S000001597"	"ORF"	"Verified"	"YKL114C"	"APN1"	"DNA-(apurinic or apyrimidinic site) lyase APN1"	"chromosome 11"	"L000000096"	"11"	224455	223352	"C"	NA	"2011-02-03"	"1996-07-31"	"Major apurinic/apyrimidinic endonuclease; 3'-repair diesterase; involved in repair of DNA damage by oxidation and alkylating agents; also functions as a 3'-5' exonuclease to repair 7,8-dihydro-8-oxodeoxyguanosine; genetically interacts with NTG1 to maintain mitochondrial genome integrity"
"63"	"S000001576"	"ORF"	"Verified"	"YKL093W"	"MBR1"	""	"chromosome 11"	"L000001033"	"11"	264789	265808	"W"	NA	"2011-02-03"	"1996-07-31"	"Protein involved in mitochondrial functions and stress response; overexpression suppresses growth defects of hap2, hap3, and hap4 mutants; MBR1 has a paralog, ISF1, that arose from the whole genome duplication"
"64"	"S000001570"	"ORF"	"Verified"	"YKL087C"	"CYT2"	"cytochrome c1 heme lyase CYT2|CC1HL"	"chromosome 11"	"L000000473"	"11"	277863	277189	"C"	NA	"2011-02-03"	"1996-07-31"	"Cytochrome c1 heme lyase; involved in maturation of cytochrome c1, which is a subunit of the mitochondrial ubiquinol-cytochrome-c reductase; links heme covalently to apocytochrome c1; human homolog HCCS can complement yeast cyt2 null mutant"
